branch,archetype,atac_track,n_windows,pearson_r,naive_p,n_eff_AR1,p_AR1,n_eff_Bartlett,p_Bartlett,p_block_perm,block_L
CR,A1,promoter_accessibility,100,0.0092,0.9272520311975476,3.6,0.9919554157488383,10.1,0.9796750387415372,0.969,6
CR,A2,promoter_accessibility,100,0.6045,2.7343940336501803e-11,3.3,0.5199416146047023,8.6,0.09482563416550273,0.0028,6
CR,A3,promoter_accessibility,100,-0.2727,0.006053950237088444,3.6,0.7637103600145042,9.0,0.4782098043841134,0.2492,6
CR,A4,promoter_accessibility,100,-0.6582,9.916777038475353e-14,3.7,0.39567747077471105,8.9,0.05654179084154175,0.001,6
CR,A5,promoter_accessibility,100,0.6185,7.023344881513185e-12,3.9,0.39149582434444075,12.6,0.02701964184433092,0.0024,6
ExcNeuron,A1,promoter_accessibility,80,-0.1116,0.32438337527209127,2.3,0.973478694658229,8.4,0.785967418473555,0.6722,6
ExcNeuron,A2,promoter_accessibility,80,0.7193,5.643854000385939e-14,2.1,0.9390283897429557,7.6,0.053686152959555714,0.0005,6
ExcNeuron,A3,promoter_accessibility,80,-0.3989,0.00024677400756418474,2.2,0.9158567933372187,8.1,0.32483479965663303,0.1094,6
ExcNeuron,A4,promoter_accessibility,80,-0.481,6.309900004589923e-06,2.0,0.9944552720203748,11.7,0.1195139163906875,0.028,6
ExcNeuron,A5,promoter_accessibility,80,0.2642,0.017879043299457623,2.2,0.957475802609813,9.7,0.47039515461393056,0.2662,6
InhNeuron,A1,promoter_accessibility,76,-0.7748,2.163490695938739e-16,1.5,,5.3,0.10332113184911526,0.0006,6
InhNeuron,A2,promoter_accessibility,76,-0.719,2.579181880007027e-13,1.7,,5.6,0.1303062579622187,0.0033,6
InhNeuron,A3,promoter_accessibility,76,0.6241,1.7015665955426106e-09,1.9,,6.8,0.1441080596048729,0.0109,6
InhNeuron,A4,promoter_accessibility,76,0.617,2.9304650509822197e-09,1.7,,6.1,0.18366746687191535,0.0146,6
InhNeuron,A5,promoter_accessibility,76,0.0474,0.6839875481433607,1.7,,6.6,0.922833558580538,0.8648,6
