regulator,weighted_score,mean_instability,enrichment_score,branch_specificity,peak_archetype,db_confidence,n_targets,enrichment_pval,top_targets
Trp53,1.3597,0.0097,-0.0,0.0037,A3,0.811,157,1.0,"Thbs1, Thbs1, Cdkn1a, Cdkn1a, Fas, Tcf4, Ccnb1, Upp1"
Sp1,1.3353,0.0066,-0.0,0.001,A2,0.736,247,1.0,"Acta2, Col1a2, Slc2a1, Myc, Cdkn1a, Acsbg1, Aldh3a1, Cdkn1c"
Nfkb1,1.2922,0.0082,-0.0,0.0048,A3,0.744,177,1.0,"Slc2a1, Myc, Myc, Col1a1, Hes1, Fas, Upp1, Pmaip1"
Smad3,0.8749,0.0225,-0.0,0.0112,A3,0.83,45,1.0,"Tagln, Acta2, H19, Col1a2, Myc, Tagln, Acta2, Acta2"
Rela,0.7389,0.007,-0.0,0.0072,A3,0.777,107,1.0,"Serpine2, Myc, Cdkn2a, Col1a1, Hes1, Hes1, Fas, Upp1"
Jun,0.647,0.0067,-0.0,0.0029,A3,0.73,110,1.0,"Slc2a1, Cdkn2a, Col3a1, Aldh3a1, Fos, Hmox1, Spp1, Serpine1"
Ctnnb1,0.5882,0.011,-0.0,0.0015,A2,0.789,58,1.0,"Ccl7, Birc5, Slc2a1, Tcf4, Fgfbp1, Myc, Glul, Ptgs2"
Egr1,0.5726,0.0104,-0.0,0.0035,A2,0.757,65,1.0,"Id3, Thbs1, Bnip3, Cdkn1c, Birc5, Mmp14, Tk1, Ptges"
Stat3,0.5635,0.0086,-0.0,0.0052,A3,0.808,68,1.0,"Myc, Col1a1, Tcf4, Igfbp5, Egr1, Fos, Mmp2, Myc"
Ep300,0.4999,0.0124,-0.0,0.0015,A5,0.724,55,1.0,"Col1a2, Cdkn1a, Aldh3a1, Birc5, Fos, Hmox1, Ccnb2, Spp1"
Sp3,0.4963,0.0074,-0.0,0.0009,A5,0.786,75,1.0,"Acta2, Cdkn1a, Acsbg1, Ucp2, Slc2a3, Cdkn1a, Col2a1, Ptgs2"
Runx2,0.4421,0.0084,-0.0,0.0063,A3,0.795,48,1.0,"Col1a2, Col1a1, Hes1, Lgals3, Thbs1, Alpl, Spp1, Col2a1"
Ets1,0.4135,0.0097,-0.0,0.003,A3,0.791,51,1.0,"Cdkn2a, Ctgf, Hmox1, Spp1, Krt8, Ptgs2, Bmp4, Tgfbr2"
Smad4,0.4131,0.014,-0.0,0.0159,A2,0.864,33,1.0,"Id3, H19, Cdkn1a, Cdkn2b, Cldn3, Col2a1, Cdh1, Tgfbr2"
Srf,0.3937,0.0271,-0.0,0.0399,A3,0.789,18,1.0,"Tagln, Acta2, Actg2, Egr1, Mmp14, Ctgf, Mmp2, Tgfb1i1"
